Municipios;Sexo;Periodo;Total
25068 Castellnou de Seana;Total;2017;686
25068 Castellnou de Seana;Total;2016;736
25068 Castellnou de Seana;Total;2015;736
25069 Castelló de Farfanya;Total;2022;508
25069 Castelló de Farfanya;Total;2021;529
25069 Castelló de Farfanya;Total;2020;539
25069 Castelló de Farfanya;Total;2019;536
25069 Castelló de Farfanya;Total;2018;538
25069 Castelló de Farfanya;Total;2017;542
25069 Castelló de Farfanya;Total;2016;556
25069 Castelló de Farfanya;Total;2015;547
25070 Castellserà;Total;2022;961
25070 Castellserà;Total;2021;976
25070 Castellserà;Total;2020;996
25070 Castellserà;Total;2019;1.003
25070 Castellserà;Total;2018;1.000
25070 Castellserà;Total;2017;1.008
25070 Castellserà;Total;2016;1.030
25070 Castellserà;Total;2015;1.044
25071 Cava;Total;2022;51
25071 Cava;Total;2021;46
25071 Cava;Total;2020;45
25071 Cava;Total;2019;47
25071 Cava;Total;2018;46
25071 Cava;Total;2017;52
25071 Cava;Total;2016;57
25071 Cava;Total;2015;60
25072 Cervera;Total;2022;9.393
25072 Cervera;Total;2021;9.328
25072 Cervera;Total;2020;9.350
25072 Cervera;Total;2019;9.180
25072 Cervera;Total;2018;9.066
25072 Cervera;Total;2017;9.037
25072 Cervera;Total;2016;9.013
25072 Cervera;Total;2015;8.956
25073 Cervià de les Garrigues;Total;2022;642
25073 Cervià de les Garrigues;Total;2021;665
25073 Cervià de les Garrigues;Total;2020;662
25073 Cervià de les Garrigues;Total;2019;640
25073 Cervià de les Garrigues;Total;2018;648
25073 Cervià de les Garrigues;Total;2017;660
25073 Cervià de les Garrigues;Total;2016;686
25073 Cervià de les Garrigues;Total;2015;695
25074 Ciutadilla;Total;2022;190
25074 Ciutadilla;Total;2021;202
25074 Ciutadilla;Total;2020;208
25074 Ciutadilla;Total;2019;208
25074 Ciutadilla;Total;2018;206
25074 Ciutadilla;Total;2017;202
25074 Ciutadilla;Total;2016;204
25074 Ciutadilla;Total;2015;217
25075 Clariana de Cardener;Total;2022;162
25075 Clariana de Cardener;Total;2021;158
25075 Clariana de Cardener;Total;2020;161
25075 Clariana de Cardener;Total;2019;157
25075 Clariana de Cardener;Total;2018;147
25075 Clariana de Cardener;Total;2017;145
25075 Clariana de Cardener;Total;2016;141
