Municipios;Sexo;Periodo;Total
43076 Marçà;Total;2019;594
43076 Marçà;Total;2018;599
43076 Marçà;Total;2017;602
43076 Marçà;Total;2016;586
43076 Marçà;Total;2015;596
43075 Margalef;Total;2022;107
43075 Margalef;Total;2021;104
43075 Margalef;Total;2020;106
43075 Margalef;Total;2019;97
43075 Margalef;Total;2018;94
43075 Margalef;Total;2017;101
43075 Margalef;Total;2016;97
43075 Margalef;Total;2015;106
43077 Mas de Barberans;Total;2022;556
43077 Mas de Barberans;Total;2021;572
43077 Mas de Barberans;Total;2020;564
43077 Mas de Barberans;Total;2019;578
43077 Mas de Barberans;Total;2018;577
43077 Mas de Barberans;Total;2017;584
43077 Mas de Barberans;Total;2016;605
43077 Mas de Barberans;Total;2015;604
43078 Masdenverge;Total;2022;1.129
43078 Masdenverge;Total;2021;1.109
43078 Masdenverge;Total;2020;1.071
43078 Masdenverge;Total;2019;1.070
43078 Masdenverge;Total;2018;1.066
43078 Masdenverge;Total;2017;1.067
43078 Masdenverge;Total;2016;1.088
43078 Masdenverge;Total;2015;1.096
43079 Masllorenç;Total;2022;547
43079 Masllorenç;Total;2021;508
43079 Masllorenç;Total;2020;505
43079 Masllorenç;Total;2019;504
43079 Masllorenç;Total;2018;498
43079 Masllorenç;Total;2017;496
43079 Masllorenç;Total;2016;502
43079 Masllorenç;Total;2015;501
43080 Masó, La;Total;2022;285
43080 Masó, La;Total;2021;283
43080 Masó, La;Total;2020;280
43080 Masó, La;Total;2019;276
43080 Masó, La;Total;2018;276
43080 Masó, La;Total;2017;281
43080 Masó, La;Total;2016;290
43080 Masó, La;Total;2015;290
43081 Maspujols;Total;2022;859
43081 Maspujols;Total;2021;826
43081 Maspujols;Total;2020;823
43081 Maspujols;Total;2019;827
43081 Maspujols;Total;2018;799
43081 Maspujols;Total;2017;791
43081 Maspujols;Total;2016;774
43081 Maspujols;Total;2015;786
43082 Masroig, El;Total;2022;479
43082 Masroig, El;Total;2021;499
43082 Masroig, El;Total;2020;492
43082 Masroig, El;Total;2019;497
43082 Masroig, El;Total;2018;498
43082 Masroig, El;Total;2017;510
43082 Masroig, El;Total;2016;494
43082 Masroig, El;Total;2015;511
43083 Milà, El;Total;2022;189
43083 Milà, El;Total;2021;191
43083 Milà, El;Total;2020;190
43083 Milà, El;Total;2019;178
43083 Milà, El;Total;2018;183
43083 Milà, El;Total;2017;182
43083 Milà, El;Total;2016;178
43083 Milà, El;Total;2015;178
43084 Miravet;Total;2022;682
43084 Miravet;Total;2021;685
