Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
43061 Forès;;;Renta neta media por hogar;2017;.
43061 Forès;;;Renta neta media por hogar;2016;.
43061 Forès;;;Renta neta media por hogar;2015;.
43062 Freginals;;;Renta neta media por hogar;2020;28.112
43062 Freginals;;;Renta neta media por hogar;2019;27.286
43062 Freginals;;;Renta neta media por hogar;2018;25.820
43062 Freginals;;;Renta neta media por hogar;2017;25.574
43062 Freginals;;;Renta neta media por hogar;2016;23.606
43062 Freginals;;;Renta neta media por hogar;2015;24.089
43063 Galera, La;;;Renta neta media por hogar;2020;25.708
43063 Galera, La;;;Renta neta media por hogar;2019;23.268
43063 Galera, La;;;Renta neta media por hogar;2018;23.010
43063 Galera, La;;;Renta neta media por hogar;2017;22.831
43063 Galera, La;;;Renta neta media por hogar;2016;21.948
43063 Galera, La;;;Renta neta media por hogar;2015;21.937
43064 Gandesa;;;Renta neta media por hogar;2020;31.703
43064 Gandesa;;;Renta neta media por hogar;2019;32.277
43064 Gandesa;;;Renta neta media por hogar;2018;29.840
43064 Gandesa;;;Renta neta media por hogar;2017;28.675
43064 Gandesa;;;Renta neta media por hogar;2016;28.041
43064 Gandesa;;;Renta neta media por hogar;2015;27.661
43065 Garcia;;;Renta neta media por hogar;2020;29.433
43065 Garcia;;;Renta neta media por hogar;2019;28.138
43065 Garcia;;;Renta neta media por hogar;2018;26.846
43065 Garcia;;;Renta neta media por hogar;2017;26.960
43065 Garcia;;;Renta neta media por hogar;2016;25.790
43065 Garcia;;;Renta neta media por hogar;2015;26.050
43066 Garidells, Els;;;Renta neta media por hogar;2020;35.730
43066 Garidells, Els;;;Renta neta media por hogar;2019;35.682
43066 Garidells, Els;;;Renta neta media por hogar;2018;33.209
43066 Garidells, Els;;;Renta neta media por hogar;2017;33.015
43066 Garidells, Els;;;Renta neta media por hogar;2016;30.178
43066 Garidells, Els;;;Renta neta media por hogar;2015;29.017
43067 Ginestar;;;Renta neta media por hogar;2020;26.937
43067 Ginestar;;;Renta neta media por hogar;2019;27.571
43067 Ginestar;;;Renta neta media por hogar;2018;25.767
43067 Ginestar;;;Renta neta media por hogar;2017;25.391
43067 Ginestar;;;Renta neta media por hogar;2016;24.737
43067 Ginestar;;;Renta neta media por hogar;2015;24.022
43068 Godall;;;Renta neta media por hogar;2020;25.147
43068 Godall;;;Renta neta media por hogar;2019;24.981
43068 Godall;;;Renta neta media por hogar;2018;23.938
43068 Godall;;;Renta neta media por hogar;2017;23.424
43068 Godall;;;Renta neta media por hogar;2016;21.693
43068 Godall;;;Renta neta media por hogar;2015;21.536
43069 Gratallops;;;Renta neta media por hogar;2020;29.149
43069 Gratallops;;;Renta neta media por hogar;2019;29.137
43069 Gratallops;;;Renta neta media por hogar;2018;27.085
43069 Gratallops;;;Renta neta media por hogar;2017;26.053
43069 Gratallops;;;Renta neta media por hogar;2016;29.576
43069 Gratallops;;;Renta neta media por hogar;2015;26.106
43070 Guiamets, Els;;;Renta neta media por hogar;2020;34.480
43070 Guiamets, Els;;;Renta neta media por hogar;2019;32.311
