Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
17068 Foixà;;;Renta neta media por hogar;2019;43.387
17068 Foixà;;;Renta neta media por hogar;2018;40.360
17068 Foixà;;;Renta neta media por hogar;2017;36.251
17068 Foixà;;;Renta neta media por hogar;2016;37.102
17068 Foixà;;;Renta neta media por hogar;2015;32.347
17069 Fontanals de Cerdanya;;;Renta neta media por hogar;2020;49.591
17069 Fontanals de Cerdanya;;;Renta neta media por hogar;2019;40.137
17069 Fontanals de Cerdanya;;;Renta neta media por hogar;2018;45.697
17069 Fontanals de Cerdanya;;;Renta neta media por hogar;2017;38.269
17069 Fontanals de Cerdanya;;;Renta neta media por hogar;2016;36.159
17069 Fontanals de Cerdanya;;;Renta neta media por hogar;2015;35.543
17070 Fontanilles;;;Renta neta media por hogar;2020;55.533
17070 Fontanilles;;;Renta neta media por hogar;2019;51.986
17070 Fontanilles;;;Renta neta media por hogar;2018;50.302
17070 Fontanilles;;;Renta neta media por hogar;2017;45.051
17070 Fontanilles;;;Renta neta media por hogar;2016;44.233
17070 Fontanilles;;;Renta neta media por hogar;2015;45.642
17071 Fontcoberta;;;Renta neta media por hogar;2020;45.277
17071 Fontcoberta;;;Renta neta media por hogar;2019;44.487
17071 Fontcoberta;;;Renta neta media por hogar;2018;42.779
17071 Fontcoberta;;;Renta neta media por hogar;2017;41.295
17071 Fontcoberta;;;Renta neta media por hogar;2016;39.949
17071 Fontcoberta;;;Renta neta media por hogar;2015;38.390
17073 Fornells de la Selva;;;Renta neta media por hogar;2020;57.726
17073 Fornells de la Selva;;;Renta neta media por hogar;2019;56.203
17073 Fornells de la Selva;;;Renta neta media por hogar;2018;54.584
17073 Fornells de la Selva;;;Renta neta media por hogar;2017;50.791
17073 Fornells de la Selva;;;Renta neta media por hogar;2016;49.233
17073 Fornells de la Selva;;;Renta neta media por hogar;2015;48.022
17074 Fortià;;;Renta neta media por hogar;2020;37.132
17074 Fortià;;;Renta neta media por hogar;2019;35.110
17074 Fortià;;;Renta neta media por hogar;2018;33.647
17074 Fortià;;;Renta neta media por hogar;2017;33.861
17074 Fortià;;;Renta neta media por hogar;2016;32.846
17074 Fortià;;;Renta neta media por hogar;2015;34.323
17075 Garrigàs;;;Renta neta media por hogar;2020;41.242
17075 Garrigàs;;;Renta neta media por hogar;2019;41.224
17075 Garrigàs;;;Renta neta media por hogar;2018;41.172
17075 Garrigàs;;;Renta neta media por hogar;2017;38.792
17075 Garrigàs;;;Renta neta media por hogar;2016;35.216
17075 Garrigàs;;;Renta neta media por hogar;2015;34.017
17076 Garrigoles;;;Renta neta media por hogar;2020;35.319
17076 Garrigoles;;;Renta neta media por hogar;2019;38.370
17076 Garrigoles;;;Renta neta media por hogar;2018;33.029
17076 Garrigoles;;;Renta neta media por hogar;2017;31.245
17076 Garrigoles;;;Renta neta media por hogar;2016;33.124
17076 Garrigoles;;;Renta neta media por hogar;2015;26.651
17077 Garriguella;;;Renta neta media por hogar;2020;37.530
17077 Garriguella;;;Renta neta media por hogar;2019;34.673
17077 Garriguella;;;Renta neta media por hogar;2018;33.933
17077 Garriguella;;;Renta neta media por hogar;2017;31.470
17077 Garriguella;;;Renta neta media por hogar;2016;30.489
17077 Garriguella;;;Renta neta media por hogar;2015;29.967
17078 Ger;;;Renta neta media por hogar;2020;41.774
17078 Ger;;;Renta neta media por hogar;2019;41.561
17078 Ger;;;Renta neta media por hogar;2018;41.401
17078 Ger;;;Renta neta media por hogar;2017;37.588
17078 Ger;;;Renta neta media por hogar;2016;35.800
17078 Ger;;;Renta neta media por hogar;2015;37.211
17079 Girona;;;Renta neta media por hogar;2020;39.210
17079 Girona;;;Renta neta media por hogar;2019;39.298
17079 Girona;;;Renta neta media por hogar;2018;37.139
17079 Girona;;;Renta neta media por hogar;2017;35.968
17079 Girona;;;Renta neta media por hogar;2016;35.054
17079 Girona;;;Renta neta media por hogar;2015;33.591
17080 Gombrèn;;;Renta neta media por hogar;2020;39.850
17080 Gombrèn;;;Renta neta media por hogar;2019;35.177
17080 Gombrèn;;;Renta neta media por hogar;2018;33.662
17080 Gombrèn;;;Renta neta media por hogar;2017;31.291
17080 Gombrèn;;;Renta neta media por hogar;2016;31.892
17080 Gombrèn;;;Renta neta media por hogar;2015;30.237
17081 Gualta;;;Renta neta media por hogar;2020;42.966
17081 Gualta;;;Renta neta media por hogar;2019;39.297
17081 Gualta;;;Renta neta media por hogar;2018;36.805
17081 Gualta;;;Renta neta media por hogar;2017;35.120
17081 Gualta;;;Renta neta media por hogar;2016;32.719
17081 Gualta;;;Renta neta media por hogar;2015;30.062
17082 Guils de Cerdanya;;;Renta neta media por hogar;2020;44.348
17082 Guils de Cerdanya;;;Renta neta media por hogar;2019;41.816
17082 Guils de Cerdanya;;;Renta neta media por hogar;2018;39.852
17082 Guils de Cerdanya;;;Renta neta media por hogar;2017;37.070
17082 Guils de Cerdanya;;;Renta neta media por hogar;2016;37.718
