Municipios;Sexo;Periodo;Total
17089 Llagostera;Total;2020;8.647
17089 Llagostera;Total;2019;8.453
17089 Llagostera;Total;2018;8.297
17089 Llagostera;Total;2017;8.229
17089 Llagostera;Total;2016;8.266
17089 Llagostera;Total;2015;8.224
17090 Llambilles;Total;2022;731
17090 Llambilles;Total;2021;730
17090 Llambilles;Total;2020;713
17090 Llambilles;Total;2019;696
17090 Llambilles;Total;2018;693
17090 Llambilles;Total;2017;716
17090 Llambilles;Total;2016;723
17090 Llambilles;Total;2015;733
17091 Llanars;Total;2022;533
17091 Llanars;Total;2021;535
17091 Llanars;Total;2020;535
17091 Llanars;Total;2019;505
17091 Llanars;Total;2018;514
17091 Llanars;Total;2017;507
17091 Llanars;Total;2016;514
17091 Llanars;Total;2015;512
17092 Llançà;Total;2022;4.905
17092 Llançà;Total;2021;4.842
17092 Llançà;Total;2020;4.775
17092 Llançà;Total;2019;4.836
17092 Llançà;Total;2018;4.868
17092 Llançà;Total;2017;4.796
17092 Llançà;Total;2016;4.934
17092 Llançà;Total;2015;4.985
17093 Llers;Total;2022;1.245
17093 Llers;Total;2021;1.252
17093 Llers;Total;2020;1.237
17093 Llers;Total;2019;1.239
17093 Llers;Total;2018;1.239
17093 Llers;Total;2017;1.211
17093 Llers;Total;2016;1.210
17093 Llers;Total;2015;1.209
17094 Llívia;Total;2022;1.495
17094 Llívia;Total;2021;1.504
17094 Llívia;Total;2020;1.431
17094 Llívia;Total;2019;1.417
17094 Llívia;Total;2018;1.428
17094 Llívia;Total;2017;1.415
17094 Llívia;Total;2016;1.467
17094 Llívia;Total;2015;1.456
17095 Lloret de Mar;Total;2022;38.941
17095 Lloret de Mar;Total;2021;38.402
17095 Lloret de Mar;Total;2020;39.089
17095 Lloret de Mar;Total;2019;38.373
17095 Lloret de Mar;Total;2018;37.350
17095 Lloret de Mar;Total;2017;36.878
17095 Lloret de Mar;Total;2016;37.042
17095 Lloret de Mar;Total;2015;37.618
