Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
25045 Bausen;;;Renta neta media por hogar;2016;.
25045 Bausen;;;Renta neta media por hogar;2015;.
25046 Belianes;;;Renta neta media por hogar;2020;27.729
25046 Belianes;;;Renta neta media por hogar;2019;26.021
25046 Belianes;;;Renta neta media por hogar;2018;25.220
25046 Belianes;;;Renta neta media por hogar;2017;23.900
25046 Belianes;;;Renta neta media por hogar;2016;22.027
25046 Belianes;;;Renta neta media por hogar;2015;22.050
25047 Bellcaire d'Urgell;;;Renta neta media por hogar;2020;34.033
25047 Bellcaire d'Urgell;;;Renta neta media por hogar;2019;32.295
25047 Bellcaire d'Urgell;;;Renta neta media por hogar;2018;32.280
25047 Bellcaire d'Urgell;;;Renta neta media por hogar;2017;28.140
25047 Bellcaire d'Urgell;;;Renta neta media por hogar;2016;26.856
25047 Bellcaire d'Urgell;;;Renta neta media por hogar;2015;27.612
25048 Bell-lloc d'Urgell;;;Renta neta media por hogar;2020;35.660
25048 Bell-lloc d'Urgell;;;Renta neta media por hogar;2019;35.791
25048 Bell-lloc d'Urgell;;;Renta neta media por hogar;2018;35.139
25048 Bell-lloc d'Urgell;;;Renta neta media por hogar;2017;35.287
25048 Bell-lloc d'Urgell;;;Renta neta media por hogar;2016;32.032
25048 Bell-lloc d'Urgell;;;Renta neta media por hogar;2015;31.043
25049 Bellmunt d'Urgell;;;Renta neta media por hogar;2020;34.809
25049 Bellmunt d'Urgell;;;Renta neta media por hogar;2019;32.794
25049 Bellmunt d'Urgell;;;Renta neta media por hogar;2018;31.493
25049 Bellmunt d'Urgell;;;Renta neta media por hogar;2017;27.598
25049 Bellmunt d'Urgell;;;Renta neta media por hogar;2016;29.498
25049 Bellmunt d'Urgell;;;Renta neta media por hogar;2015;27.287
25050 Bellpuig;;;Renta neta media por hogar;2020;32.060
25050 Bellpuig;;;Renta neta media por hogar;2019;31.455
25050 Bellpuig;;;Renta neta media por hogar;2018;29.890
25050 Bellpuig;;;Renta neta media por hogar;2017;28.679
25050 Bellpuig;;;Renta neta media por hogar;2016;27.905
25050 Bellpuig;;;Renta neta media por hogar;2015;26.905
25051 Bellver de Cerdanya;;;Renta neta media por hogar;2020;33.510
25051 Bellver de Cerdanya;;;Renta neta media por hogar;2019;32.606
25051 Bellver de Cerdanya;;;Renta neta media por hogar;2018;31.017
25051 Bellver de Cerdanya;;;Renta neta media por hogar;2017;29.076
25051 Bellver de Cerdanya;;;Renta neta media por hogar;2016;28.967
25051 Bellver de Cerdanya;;;Renta neta media por hogar;2015;28.392
25052 Bellvís;;;Renta neta media por hogar;2020;32.701
25052 Bellvís;;;Renta neta media por hogar;2019;31.934
25052 Bellvís;;;Renta neta media por hogar;2018;29.998
25052 Bellvís;;;Renta neta media por hogar;2017;28.665
25052 Bellvís;;;Renta neta media por hogar;2016;27.727
25052 Bellvís;;;Renta neta media por hogar;2015;27.327
25053 Benavent de Segrià;;;Renta neta media por hogar;2020;38.691
25053 Benavent de Segrià;;;Renta neta media por hogar;2019;40.735
25053 Benavent de Segrià;;;Renta neta media por hogar;2018;38.453
25053 Benavent de Segrià;;;Renta neta media por hogar;2017;36.527
25053 Benavent de Segrià;;;Renta neta media por hogar;2016;35.436
25053 Benavent de Segrià;;;Renta neta media por hogar;2015;34.761
25055 Biosca;;;Renta neta media por hogar;2020;30.970
25055 Biosca;;;Renta neta media por hogar;2019;31.536
25055 Biosca;;;Renta neta media por hogar;2018;32.568
25055 Biosca;;;Renta neta media por hogar;2017;26.701
25055 Biosca;;;Renta neta media por hogar;2016;23.788
25055 Biosca;;;Renta neta media por hogar;2015;26.283
25056 Bovera;;;Renta neta media por hogar;2020;21.489
25056 Bovera;;;Renta neta media por hogar;2019;21.216
25056 Bovera;;;Renta neta media por hogar;2018;21.312
25056 Bovera;;;Renta neta media por hogar;2017;22.730
25056 Bovera;;;Renta neta media por hogar;2016;20.142
25056 Bovera;;;Renta neta media por hogar;2015;21.060
25057 Bòrdes, Es;;;Renta neta media por hogar;2020;39.909
25057 Bòrdes, Es;;;Renta neta media por hogar;2019;38.818
25057 Bòrdes, Es;;;Renta neta media por hogar;2018;33.769
25057 Bòrdes, Es;;;Renta neta media por hogar;2017;33.377
